ln(alpha),alpha,ln(Beta),Beta,-2 ln(Likelihood)
-1.242058258,0.288789203,1.8037374,6.072299722,-17.0591668
-1.127613235,0.323805182,1.329103849,3.777656518,-25.7437806
-0.963583465,0.381523258,1.838124166,6.284738068,-19.55015898
-0.987989214,0.372324604,1.076254814,2.933671804,-23.37842512
-0.713221975,0.490062681,3.459132633,31.78939148,-22.95386772
-1.476327029,0.228475332,0.545424918,1.725341354,-18.2557078
-1.118845322,0.32665676,1.940110249,6.95951821,-27.971951
-1.503697717,0.222306612,1.133200843,3.105581086,-47.41328378
-0.972851924,0.378003462,1.824585926,6.200227137,-18.28075964
-0.858471636,0.423809322,2.817874109,16.7412228,-24.07211035
-0.816012029,0.44219159,2.14799317,8.567647321,-24.40370448
-0.821549922,0.439749549,2.459066651,11.69389197,-20.63946647
-1.487535855,0.225928691,0.22290736,1.249704796,-20.90709419
-1.132433813,0.32224801,1.612406578,5.014865383,-36.42625254
-1.323345227,0.266243167,1.284569379,3.613111739,-18.3882375
-1.277667893,0.27868647,0.938438212,2.55598639,-30.68097358
-1.063638888,0.345197388,1.026488302,2.791246589,-13.70643819
-0.796317389,0.450986718,1.360345372,3.897539171,-24.97853044
-1.518770023,0.218981063,0.459081494,1.582619671,-32.44499725
-1.083016144,0.3385728,1.448272834,4.255757765,-25.72589985
-0.797422403,0.450488647,2.515730426,12.37564497,-17.47182142
-0.626648022,0.534380032,2.41553553,11.19576442,-21.3118594
-1.161368377,0.313057507,1.393399935,4.028523515,-16.70947293
-1.15401919,0.3153667,2.173258904,8.786873002,-24.47032738
-1.241240337,0.289025507,0.286865588,1.332245132,-26.0453235
-1.296278618,0.273547877,0.007386015,1.007413359,-18.13233839
-0.6686989,0.512374795,2.625119046,13.80621766,-21.99422709
-1.376106341,0.252560024,0.236658975,1.267008963,-39.5207599
-1.493317681,0.22462618,-0.080141576,0.922985665,-36.076049
-1.332513449,0.263813346,0.496041843,1.642208272,-28.44856526
-0.963041986,0.381729901,1.847898901,6.346470937,-17.3828309
-0.825257578,0.438122127,2.436470412,11.43261701,-17.12480777
-0.967756164,0.379934593,1.840626671,6.300485355,-20.70431952
-1.08121759,0.339182289,1.571171818,4.812284012,-14.82881769
-1.55473487,0.211245383,0.182270752,1.199939035,-30.86437979
-1.476114437,0.22852391,0.549935993,1.733142081,-28.97476487
-1.34296771,0.261069739,0.585636596,1.796134033,-36.90965597
-0.658533829,0.517609683,2.203826289,9.059611959,-23.86735167
-0.951995505,0.385970049,1.588575863,4.896770286,-17.21041193
-1.073728552,0.341731974,0.852475014,2.345444682,-22.39828728
-1.078694843,0.340039041,1.574316482,4.827440848,-33.37570233
-1.384495058,0.250450231,0.487971735,1.629008805,-33.22647
-1.380022438,0.251572908,1.583546243,4.872203227,-27.51108802
-0.996361367,0.369220458,1.631055814,5.109266304,-27.16849544
-1.151271982,0.316234269,1.097374462,2.996288818,-30.09634504
-0.823949198,0.438695733,2.148641797,8.573206327,-19.34337199
-0.772664256,0.461781125,2.274200069,9.720140459,-16.40162028
-1.311116005,0.269519104,0.827210323,2.286930038,-27.12583086
-0.990362318,0.371442086,2.098883741,8.157059434,-20.58962629
-1.240638551,0.28919949,0.164881254,1.179253078,-31.04676357
-1.113898964,0.328276524,0.92058991,2.510771081,-16.36714222
-1.570440066,0.207953649,0.130319651,1.139192469,-23.59529581
-1.347708582,0.25983497,0.601360812,1.82460005,-34.2100369
-0.477211032,0.620511568,2.418586065,11.22996963,-33.07949825
-0.90234764,0.4056163,1.412089693,4.104523643,-14.62030366
-1.018433926,0.361160101,1.290053545,3.632981077,-26.47292285
-1.298351887,0.272981326,0.725254333,2.065256297,-27.0581011
-1.155171973,0.31500336,1.103473728,3.014619825,-25.8334812
-0.945792459,0.38837168,2.337397902,10.35425868,-25.37335754
-0.958498534,0.383468218,1.573831917,4.825102207,-25.59373113
