r,K,m,g,C0,distance
[4.19447508],[791.73567283],[8.86530196],[5.38390606],[876.38105189],240.36832240443687
[0.03058435],[19098.04858219],[5.90640745],[19.37866944],[996.45941884],200.6733594931295
[23.41171558],[778.72510419],[10.99787955],[15.72882829],[945.13612956],249.25547662597717
[8.1057452],[783.50711476],[10.38259005],[11.81633026],[962.61376829],240.0663942056459
[1.71243424],[903.78476521],[6.63267132],[6.63037184],[1008.18026435],169.79477816597637
[0.56735747],[1005.13762386],[8.99621971],[11.70424572],[1029.78332147],171.16421732496133
[7.61688768],[766.46344375],[7.92811329],[4.08105365],[971.7581783],200.91539551277663
[0.07244576],[17588.93477748],[5.83392462],[21.68461346],[860.82131944],147.98897695417054
[0.02611418],[28171.04225364],[5.63584889],[24.42280602],[951.06743948],197.77206195069812
[0.00885368],[25053.11825499],[4.88539989],[24.28832438],[967.97271923],247.14121475030765
[10.37765124],[755.14824232],[2.64587765],[7.65592789],[975.50561816],224.99885717595623
[20.48156742],[745.04541017],[17.07853205],[7.75554795],[933.47315001],237.05293283383537
[16.8890031],[758.05885726],[14.58714436],[23.1132053],[925.44324453],248.28219700042484
[0.01964905],[12996.42993093],[3.34305934],[15.49717983],[907.43608621],224.68106175150058
[0.10592655],[25237.78032553],[10.68584986],[21.28937176],[985.62636222],75.28782772475085
[0.10654533],[9403.67832866],[8.36079178],[16.71459236],[943.58713676],160.8729568799189
[0.93264075],[806.62317042],[7.13334062],[23.99636475],[948.76008415],210.30081728375603
[0.07383979],[4000.63223313],[6.00623796],[23.15962322],[911.65691905],157.6043107787018
[0.35555353],[1127.01821667],[1.80881353],[4.70079077],[831.95102307],169.06268288256592
[19.51236133],[768.67983205],[10.42518073],[18.3276354],[960.53803027],223.88447787688813
[0.06334993],[9855.36438153],[5.81411657],[18.71446746],[873.87495163],199.03187565323753
[0.10343091],[20357.15781272],[11.98513884],[24.07412652],[934.8012053],178.52730280104709
[0.10872273],[18403.89773196],[6.57319552],[13.18868558],[983.49173984],74.42388685270589
[0.05030545],[28010.49509251],[1.12614703],[6.70886246],[826.48665246],244.0865482755189
[0.07810067],[8455.30033832],[4.05110608],[9.81613503],[1041.00576368],206.25162327784778
[10.41399945],[735.68008554],[17.94720679],[6.41088671],[965.65389075],219.05407719665072
[24.05291524],[780.34718443],[17.37708321],[14.78651383],[958.53586963],237.47742958897015
[10.97425735],[772.08666656],[2.36725582],[2.29334187],[958.26884043],205.89648648692594
[1.67183302],[901.83987499],[15.70877416],[12.30583251],[965.98627997],170.40148208479673
[16.08340763],[717.23902024],[16.34581896],[17.29503999],[952.59227434],246.1679686301751
[1.273053],[845.56333988],[5.15358413],[10.29814817],[813.6063474],248.40300284903276
[0.10223465],[2782.8267148],[5.15483145],[20.82125797],[855.36356345],176.41112989684927
[2.556865],[732.81564141],[16.75235359],[17.79425062],[935.94592637],216.69209474992124
[15.06053577],[742.95839389],[18.91800357],[15.11299243],[957.35063003],215.68672435221686
[23.54186177],[717.78456211],[19.73637573],[24.96541796],[963.18554683],240.4009841694584
[0.07962456],[6474.74818285],[6.12922339],[13.54416381],[951.29435865],180.1425873889849
[15.55514601],[740.5544621],[4.73797112],[3.22748178],[983.35355896],226.896307164414
[0.12677856],[17587.24272528],[14.96957231],[23.03044982],[1118.21508888],246.34398746638283
[0.12698477],[24678.60865802],[8.47006564],[17.35956134],[974.62637238],125.9893178407408
